,release_angle,firing_angle,cup_elevation,bungee_position,pin_elevation,distance
0,155.0,90.0,250.0,150.0,150.0,149
1,185.0,90.0,250.0,150.0,150.0,179
2,155.0,123.0,250.0,150.0,150.0,185
3,185.0,123.0,250.0,150.0,150.0,307
4,155.0,106.0,200.0,150.0,150.0,154
5,185.0,106.0,200.0,150.0,150.0,214
6,155.0,106.0,300.0,150.0,150.0,262
7,185.0,106.0,300.0,150.0,150.0,367
8,155.0,106.0,250.0,100.0,150.0,158
9,185.0,106.0,250.0,100.0,150.0,215
10,155.0,106.0,250.0,200.0,150.0,249
11,185.0,106.0,250.0,200.0,150.0,351
12,155.0,106.0,250.0,150.0,100.0,157
13,185.0,106.0,250.0,150.0,100.0,216
14,155.0,106.0,250.0,150.0,200.0,256
15,185.0,106.0,250.0,150.0,200.0,366
16,170.0,90.0,200.0,150.0,150.0,121
17,170.0,123.0,200.0,150.0,150.0,174
18,170.0,90.0,300.0,150.0,150.0,193
19,170.0,123.0,300.0,150.0,150.0,322
20,170.0,90.0,250.0,100.0,150.0,135
21,170.0,123.0,250.0,100.0,150.0,176
22,170.0,90.0,250.0,200.0,150.0,176
23,170.0,123.0,250.0,200.0,150.0,302
24,170.0,90.0,250.0,150.0,100.0,130
25,170.0,123.0,250.0,150.0,100.0,172
26,170.0,90.0,250.0,150.0,200.0,186
27,170.0,123.0,250.0,150.0,200.0,318
28,170.0,106.0,200.0,100.0,150.0,137
29,170.0,106.0,300.0,100.0,150.0,238
30,170.0,106.0,200.0,200.0,150.0,229
31,170.0,106.0,300.0,200.0,150.0,380
32,170.0,106.0,200.0,150.0,100.0,139
33,170.0,106.0,300.0,150.0,100.0,237
34,170.0,106.0,200.0,150.0,200.0,233
35,170.0,106.0,300.0,150.0,200.0,395
36,170.0,106.0,250.0,100.0,100.0,143
37,170.0,106.0,250.0,200.0,100.0,229
38,170.0,106.0,250.0,100.0,200.0,232
39,170.0,106.0,250.0,200.0,200.0,380
40,170.0,106.0,250.0,150.0,150.0,257